testId,_inp_StaffType,_inp_WorkHour,_inp_Quality,_inp_Age,_out_Salary,_out_ExReward,
1,1,150,70,20,1613,false,
2,1,150,70,21,1613,false,
3,1,150,70,22,1613,false,
4,1,150,70,23,1613,false,
5,1,150,70,24,1613,false,
6,1,150,70,25,1613,false,
7,1,150,70,26,1613,false,
8,1,150,70,27,1613,false,
9,1,150,70,28,1613,false,
10,1,150,70,29,1613,false,
11,1,150,70,30,1613,false,
12,1,150,70,31,1613,false,
13,1,150,70,32,1613,false,
14,1,150,70,33,1613,false,
15,1,150,70,34,1613,false,
16,1,150,70,35,1613,false,
17,1,150,70,36,1613,false,
18,1,150,70,37,1613,false,
19,1,150,70,38,1613,false,
20,1,150,70,39,1613,false,
21,1,150,70,40,1613,false,
22,1,150,70,41,1613,false,
23,1,150,70,42,1613,false,
24,1,150,70,43,1613,false,
25,1,150,70,44,1613,false,
26,1,150,70,45,1613,false,
27,1,150,70,46,1613,false,
28,1,150,70,47,1613,false,
29,1,150,70,48,1613,false,
30,1,150,70,49,1613,false,
31,1,150,70,50,1613,false,
32,1,150,70,51,1613,false,
33,1,150,70,52,1613,false,
34,1,150,70,53,1613,false,
35,1,150,70,54,1613,false,
36,1,150,70,55,1613,false,
37,1,150,70,56,1613,false,
38,1,150,70,57,1613,false,
39,1,150,70,58,1613,false,
40,1,150,70,59,1613,false,
41,1,150,70,60,1613,false,
42,1,150,70,61,1613,false,
43,1,150,70,62,1613,false,
44,1,150,70,63,1613,false,
45,1,150,70,64,1613,false,
46,1,150,71,20,1613,false,
47,1,150,71,21,1613,false,
48,1,150,71,22,1613,false,
49,1,150,71,23,1613,false,
50,1,150,71,24,1613,false,
51,1,150,71,25,1613,false,
52,1,150,71,26,1613,false,
53,1,150,71,27,1613,false,
54,1,150,71,28,1613,false,
55,1,150,71,29,1613,false,
56,1,150,71,30,1613,false,
57,1,150,71,31,1613,false,
58,1,150,71,32,1613,false,
59,1,150,71,33,1613,false,
60,1,150,71,34,1613,false,
61,1,150,71,35,1613,false,
62,1,150,71,36,1613,false,
63,1,150,71,37,1613,false,
64,1,150,71,38,1613,false,
65,1,150,71,39,1613,false,
66,1,150,71,40,1613,false,
67,1,150,71,41,1613,false,
68,1,150,71,42,1613,false,
69,1,150,71,43,1613,false,
70,1,150,71,44,1613,false,
71,1,150,71,45,1613,false,
72,1,150,71,46,1613,false,
73,1,150,71,47,1613,false,
74,1,150,71,48,1613,false,
75,1,150,71,49,1613,false,
76,1,150,71,50,1613,false,
77,1,150,71,51,1613,false,
78,1,150,71,52,1613,false,
79,1,150,71,53,1613,false,
80,1,150,71,54,1613,false,
81,1,150,71,55,1613,false,
82,1,150,71,56,1613,false,
83,1,150,71,57,1613,false,
84,1,150,71,58,1613,false,
85,1,150,71,59,1613,false,
86,1,150,71,60,1613,false,
87,1,150,71,61,1613,false,
88,1,150,71,62,1613,false,
89,1,150,71,63,1613,false,
90,1,150,71,64,1613,false,
91,1,150,72,20,1613,false,
92,1,150,72,21,1613,false,
93,1,150,72,22,1613,false,
94,1,150,72,23,1613,false,
95,1,150,72,24,1613,false,
96,1,150,72,25,1613,false,
97,1,150,72,26,1613,false,
98,1,150,72,27,1613,false,
99,1,150,72,28,1613,false,
100,1,150,72,29,1613,false,
101,1,150,72,30,1613,false,
102,1,150,72,31,1613,false,
103,1,150,72,32,1613,false,
104,1,150,72,33,1613,false,
105,1,150,72,34,1613,false,
106,1,150,72,35,1613,false,
107,1,150,72,36,1613,false,
108,1,150,72,37,1613,false,
109,1,150,72,38,1613,false,
110,1,150,72,39,1613,false,
111,1,150,72,40,1613,false,
112,1,150,72,41,1613,false,
113,1,150,72,42,1613,false,
114,1,150,72,43,1613,false,
115,1,150,72,44,1613,false,
116,1,150,72,45,1613,false,
